1698106885925|1|statement|connection 1|url jdbc:h2:tcp://localhost/~/jpashop|drop table if exists category CASCADE |drop table if exists category CASCADE 
1698106885926|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/jpashop|drop table if exists category_id CASCADE |drop table if exists category_id CASCADE 
1698106885927|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/jpashop|drop table if exists delivvery CASCADE |drop table if exists delivvery CASCADE 
1698106885927|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/jpashop|drop table if exists item CASCADE |drop table if exists item CASCADE 
1698106885929|1|statement|connection 1|url jdbc:h2:tcp://localhost/~/jpashop|drop table if exists member CASCADE |drop table if exists member CASCADE 
1698106885930|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/jpashop|drop table if exists order_item CASCADE |drop table if exists order_item CASCADE 
1698106885931|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/jpashop|drop table if exists orders CASCADE |drop table if exists orders CASCADE 
1698106885931|0|statement|connection 1|url jdbc:h2:tcp://localhost/~/jpashop|drop sequence if exists hibernate_sequence|drop sequence if exists hibernate_sequence
1698106885936|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/jpashop|create sequence hibernate_sequence start with 1 increment by 1|create sequence hibernate_sequence start with 1 increment by 1
1698106885937|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/jpashop|create table category (category_id bigint not null, name varchar(255), parent_id bigint, item_id bigint, primary key (category_id))|create table category (category_id bigint not null, name varchar(255), parent_id bigint, item_id bigint, primary key (category_id))
1698106885938|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/jpashop|create table category_id (category_id bigint not null, item_id bigint not null)|create table category_id (category_id bigint not null, item_id bigint not null)
1698106885939|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/jpashop|create table delivvery (delivery_id bigint not null, city varchar(255), street varchar(255), zipcode varchar(255), status varchar(255), primary key (delivery_id))|create table delivvery (delivery_id bigint not null, city varchar(255), street varchar(255), zipcode varchar(255), status varchar(255), primary key (delivery_id))
1698106885940|0|statement|connection 2|url jdbc:h2:tcp://localhost/~/jpashop|create table item (dtype varchar(31) not null, item_id bigint not null, name varchar(255), price integer not null, stock_quantity integer not null, artist varchar(255), etc varchar(255), author varchar(255), isbn varchar(255), actor varchar(255), director varchar(255), primary key (item_id))|create table item (dtype varchar(31) not null, item_id bigint not null, name varchar(255), price integer not null, stock_quantity integer not null, artist varchar(255), etc varchar(255), author varchar(255), isbn varchar(255), actor varchar(255), director varchar(255), primary key (item_id))
